allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Pâte à Sucre,6.42,1720.0,81.67,87.86,0.0,0.03,
,Praliné Amande Et Noisette,,2406.0,50.3,,3.9,9.5,
,Œuf chocolat lait praliné,31.0,209.0,55.0,57.0,,5.8,
,Chocolat de couverture noir,36.7,2301.0,41.3,45.1,,5.7,
,Stylo glaçage blanc,38.0,2427.0,58.0,58.0,,3.0,
,Stylo glacage,38.0,2427.0,58.0,58.0,,3.0,
,Stylo glaçage rose,38.0,2427.0,58.0,58.0,0.0,3.0,
,Stylo glaçage bleu,,,,,,,
,Spray Alimentaire Paillette Dorees,0.0,1088.0,65.0,67.0,,0.0,
,Alice Délice pépites chocolat lait,30.1,2205.0,55.7,56.7,,7.5,
,Pâte à sucre,4.8,1644.0,84.7,87.1,,0.0,
,Pâte à sucre,4.8,1644.0,84.7,87.1,,0.0,
,Pâte à sucre,4.8,1644.0,84.7,87.1,,0.0,
,Pâte à sucre orange,,,,,,,
,Pate a sucre,4.8,1644.0,84.7,87.1,,0.0,
,Pâte à sucre,4.8,1644.0,84.7,87.1,,0.0,
,Pate a sucre Alice Delice,4.8,1644.0,84.7,87.1,,0.0,
,Décors sucrés,0.0,1640.0,96.2,96.5,0.0,1.5,
,Décros sucrés,0.0,1640.0,96.5,96.5,,1.5,
,Preparation biscuits nature,23.0,1962.0,23.0,62.0,,3.2,
,Preparation biscuits cacao/noisette,24.0,1803.0,20.0,49.0,,3.6,
,CHOCOLAT LAIT 50%,43.04,2431.0,36.29,38.13,,8.21,
